inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数
40293,311,25119,2022-08-08 08:37:01,2022-08-0811:14:55,,0
78359,1304,43862,2023-02-28 16:34:57,2023-04-0211:31:41,2024-12-2009:55:50,2
19893,1331,11258,2023-02-21 20:24:46,2023-02-2717:33:33,,0
91747,466,51572,2023-06-16 17:59:07,2023-08-1716:55:47,,0
18650,1299,10877,2021-11-30 19:52:25,2021-12-0821:55:50,,0
70637,960,40290,2023-03-27 17:44:11,2023-05-1814:28:05,2023-04-1817:33:42,1
10453,504,6053,2023-06-10 21:16:48,2023-10-2709:09:38,2023-09-1923:03:47,2
58863,1039,32348,2023-08-15 14:21:33,2023-09-2416:03:03,2023-09-1416:14:12,1
13873,62,7924,2020-09-14 20:19:34,2020-09-2413:19:30,,0
80659,45,44992,2022-03-28 10:52:12,2022-06-1714:54:44,2021-11-1019:11:59,0
19340,1207,11350,2024-06-04 14:46:36,2024-06-0418:26:49,,0
48699,470,29129,2024-04-22 20:46:06,2024-05-2021:00:36,,0
98827,674,55656,2024-12-14 21:29:06,,,0
37529,455,23626,2024-11-11 12:47:21,2024-12-2414:36:33,2024-12-0910:03:10,1
54971,1043,30668,2023-10-25 11:45:35,2023-12-2216:35:49,2023-11-2310:03:02,1
78721,1065,43895,2022-10-14 17:22:06,2022-11-2117:55:40,,0
27691,833,16830,2021-06-07 15:57:27,2021-08-2715:20:27,2021-07-0117:01:59,1
25836,362,15471,2022-04-10 16:03:20,2022-07-0116:11:48,2022-06-0713:51:34,2
40428,311,25190,2023-03-14 12:26:01,2023-03-1910:33:56,,0
78241,586,43810,2022-09-28 16:19:38,2022-10-2415:37:12,,0
56129,406,31767,2021-03-02 21:00:47,2021-04-1817:58:14,,0
21730,866,12862,2021-04-18 19:14:13,2021-07-1517:55:13,2021-05-1720:20:19,1
17683,1412,10314,2024-11-20 15:48:16,,2024-12-1810:23:31,1
47968,307,28461,2023-09-24 14:11:53,2023-10-0909:21:53,,0
37293,495,23418,2023-05-09 21:55:50,2023-05-1119:00:04,,0
56902,32,32007,2020-10-11 16:05:42,2020-10-1515:46:00,,0
84905,1278,47595,2021-10-25 15:07:51,2022-05-0211:33:33,,0
84758,643,47507,2024-04-29 16:27:57,2024-06-2317:27:11,2024-05-2323:14:24,1
16309,369,9543,2023-02-14 14:54:26,2023-03-2912:06:32,2023-03-1416:39:04,1
28640,19,17424,2021-10-23 17:45:38,2021-11-0917:15:58,,0
10445,405,6049,2022-04-02 15:17:09,2022-04-2914:52:11,,0
77629,260,43514,2021-05-12 21:09:13,2021-06-1516:18:23,,0
23260,1085,13781,2024-12-21 10:55:58,2024-12-2117:42:02,,0
16120,1447,9404,2024-09-18 17:59:48,2024-09-2912:30:42,,0
80501,643,44866,2023-04-24 18:31:56,2023-06-1417:16:36,2023-06-1315:53:27,2
69076,476,39222,2024-09-14 19:54:29,2024-10-2511:30:18,,0
65005,214,36576,2022-11-18 12:15:30,2022-12-1110:04:49,,0
73417,607,41823,2022-10-16 16:05:37,2022-11-2117:53:58,,0
100964,1357,57125,2023-05-04 21:00:20,2023-08-2819:28:23,2023-06-2400:34:05,2
81594,100,45467,2020-12-04 18:23:47,2021-02-2817:45:23,,0
20199,346,11869,2023-08-03 11:24:04,2023-09-1011:06:16,2023-08-3109:47:55,1
33309,728,20886,2024-03-24 20:36:30,2024-04-2318:36:06,2024-04-2318:34:33,1
91525,33,51493,2021-12-09 13:32:36,2022-03-1511:00:19,2022-02-0822:29:20,2
62618,957,34672,2021-03-04 21:50:02,2021-04-0618:43:42,,0
50374,1266,29043,2022-03-01 21:31:43,2022-03-1617:46:06,,0
480,941,251,2022-08-14 17:59:40,2022-09-1919:18:50,,0
97460,175,54787,2021-07-06 11:19:01,2021-08-0109:12:38,,0
85197,888,47752,2022-02-22 19:16:19,2022-05-0313:41:45,,0
98074,297,55159,2020-10-23 14:11:51,2020-12-0509:38:26,2020-11-1406:45:48,1
55657,1435,31562,2024-09-02 21:54:32,2024-09-1319:52:52,,0
87410,556,49135,2024-03-19 16:43:05,2024-05-1511:31:58,,0
24286,290,14422,2023-03-01 15:40:33,2023-05-3020:07:47,2023-04-2809:16:21,2
8177,124,4557,2021-03-17 09:27:31,2021-03-1710:37:49,,0
41428,31,25591,2022-02-21 12:08:27,2022-03-2212:47:19,,0
98750,294,55514,2022-05-14 21:33:00,2022-06-2021:06:43,,0
99474,1,56085,2021-04-12 11:25:17,2021-06-1019:18:01,2021-05-1215:43:17,1
92801,770,52095,2020-09-16 16:44:53,2020-10-1719:02:48,,0
54021,374,30984,2021-08-08 20:08:11,2022-02-2214:07:30,2021-10-0819:34:46,1
38338,551,24107,2024-03-23 16:29:36,2024-04-2116:22:11,,0
30986,1001,19175,2021-11-17 19:03:36,2021-12-0618:32:07,,0
51492,83,30061,2020-09-28 19:32:58,2020-11-2110:16:15,2020-10-1822:30:27,1
2272,1267,1328,2021-11-15 19:24:34,2022-06-0819:23:12,,0
61954,1111,34442,2023-10-26 19:48:13,2023-12-0617:08:05,2023-11-2110:53:24,1
93629,1073,52560,2024-08-30 14:33:51,2024-09-2522:07:53,,0
35711,311,22531,2022-11-02 20:16:48,2022-11-1121:57:57,,0
77423,527,43355,2022-12-09 12:02:59,2022-12-1420:44:14,,0
40696,351,24565,2021-07-10 11:17:15,2021-08-0109:21:08,,0
53476,354,30880,2020-11-30 19:56:37,2021-01-1314:05:30,,0
101712,1353,57690,2024-12-29 19:14:52,,,0
39944,117,24955,2021-12-22 16:52:26,2022-01-0416:59:45,,0
6293,706,3297,2024-08-17 15:00:47,2024-08-2016:10:54,,0
23609,1308,13961,2020-08-28 14:51:37,2020-10-2917:56:16,2020-09-1910:16:42,1
61770,1345,34324,2024-12-18 16:10:50,,,0
54312,854,30672,2021-11-10 14:43:04,2021-12-0616:24:08,,0
52123,518,30243,2024-04-28 20:07:37,2024-05-0213:34:24,,0
88767,912,49890,2021-07-18 17:00:53,2021-10-2712:59:19,,0
56312,515,31717,2022-09-21 19:28:12,,2022-10-2117:38:45,1
39212,93,24508,2020-12-30 16:28:29,2021-01-2310:46:01,,0
43930,832,24587,2021-07-06 19:57:13,2021-08-0118:24:02,,0
75767,515,42651,2022-09-05 21:49:51,2022-11-0821:10:56,2022-10-0216:49:14,1
8322,520,4671,2023-08-24 11:24:44,2023-11-2613:26:15,2023-10-2021:28:52,2
54743,648,30661,2023-10-18 19:24:06,2023-11-1112:37:58,,0
38171,72,24032,2020-01-14 20:53:51,2020-08-2416:56:05,2022-02-1715:03:09,0
806,916,476,2021-04-23 19:34:25,2021-04-2919:26:00,,0
30488,234,18841,2022-10-28 12:47:59,2022-11-1009:39:57,,0
33835,1,21240,2021-10-27 16:03:44,2022-01-0715:52:03,2021-12-1623:32:08,2
27820,773,16909,2021-04-25 21:08:17,2021-05-0313:57:29,,0
60015,421,33269,2022-09-09 20:18:08,2022-09-0920:53:27,,0
12972,150,7383,2021-12-14 11:39:32,2021-12-1910:39:14,,0
31563,876,19597,2021-11-10 18:39:19,2021-12-1309:48:50,,0
62355,366,34679,2022-05-22 19:04:21,2022-06-2810:02:16,,0
34298,340,21541,2023-05-16 22:01:02,2023-10-1918:33:54,2023-06-0617:04:27,1
6939,1271,3739,2023-05-09 19:06:00,2023-08-2614:56:39,2024-12-3107:39:41,1
20539,1331,12094,2022-08-21 08:31:15,2022-09-1918:51:17,,0
13532,1331,7693,2023-12-16 08:30:47,2024-01-0716:52:16,,0
98810,625,55643,2024-09-03 20:53:12,2024-09-0818:49:22,,0
52411,121,30368,2022-03-05 18:47:01,2022-03-1217:52:55,,0
7187,878,3955,2020-11-26 12:25:19,2020-12-2616:42:04,,0
101811,1066,57765,2023-04-13 12:35:06,2023-05-1417:52:24,2023-05-1218:58:58,1
20736,1200,12207,2024-09-04 17:26:11,2024-10-1516:54:38,,0
32932,398,20648,2021-03-08 20:35:35,2021-03-1512:11:42,,0
40500,311,25226,2023-06-30 14:29:10,2023-09-0421:33:36,2023-08-2609:43:40,1
48585,382,28459,2023-02-28 17:45:29,2023-03-0217:43:35,,0
16514,141,9660,2021-12-03 18:40:40,2021-12-1116:35:46,2024-03-2519:57:07,0
